,wild_time,mutant_time
0,25.0,26.0
1,52.0,60.0
2,41.0,42.0
3,28.0,28.0
4,103.0,108.0
5,99.0,52.0
6,10.0,10.0
7,28.0,30.0
8,26.0,27.0
9,27.0,28.0
10,89.0,94.0
11,70.0,95.0
12,39.0,41.0
13,3436.0,10000.0
14,53.0,56.0
15,12.0,12.0
16,41.0,43.0
17,124.0,136.0
18,12.0,12.0
19,70.0,74.0
20,26.0,27.0
21,10.0,10.0
22,74.0,103.0
23,12.0,12.0
24,50.0,53.0
25,25.0,27.0
26,117.0,121.0
27,84.0,155.0
28,132.0,185.0
29,26.0,27.0
30,12.0,12.0
31,78.0,150.0
32,71.0,74.0
33,93.0,110.0
34,26.0,27.0
35,10.0,10.0
36,29.0,32.0
37,39.0,42.0
38,145.0,149.0
39,11.0,11.0
40,128.0,194.0
41,12.0,12.0
42,27.0,28.0
43,27.0,28.0
44,28.0,29.0
45,11.0,11.0
46,202.0,219.0
47,12.0,13.0
48,81.0,82.0
49,10.0,10.0
50,12.0,12.0
51,330.0,103.0
52,201.0,217.0
53,107.0,105.0
54,125.0,130.0
55,120.0,132.0
56,25.0,26.0
57,384.0,209.0
58,65.0,68.0
59,23.0,24.0
60,41.0,42.0
61,279.0,123.0
62,175.0,217.0
63,15.0,15.0
64,165.0,180.0
65,13.0,14.0
66,26.0,27.0
67,38.0,40.0
68,15.0,15.0
69,59.0,61.0
70,96.0,76.0
71,306.0,310.0
72,44.0,46.0
73,12.0,12.0
74,307.0,228.0
75,12.0,12.0
76,144.0,206.0
77,26.0,27.0
78,47.0,49.0
79,81.0,84.0
80,231.0,172.0
81,27.0,29.0
82,344.0,192.0
83,26.0,27.0
84,43.0,44.0
85,10.0,10.0
86,12.0,13.0
87,27.0,28.0
88,107.0,111.0
89,49.0,52.0
90,28.0,30.0
91,86.0,181.0
92,83.0,86.0
93,30.0,32.0
94,70.0,78.0
95,26.0,27.0
96,12.0,12.0
97,194.0,280.0
98,53.0,55.0
99,73.0,91.0
